Date,Open,High,Low,Close,Adj Close,Volume
2018-02-01,13.113000,0.000000,0.000000,13.156200,13.156200,0
2018-03-01,13.152300,0.000000,0.000000,13.319300,13.319300,0
2018-04-01,13.344500,0.000000,0.000000,13.269400,13.269400,0
2018-05-01,13.288400,0.000000,0.000000,13.283300,13.283300,0
2018-06-01,13.278800,0.000000,0.000000,13.355400,13.355400,0
2018-07-01,13.369700,0.000000,0.000000,13.482600,13.482600,0
2018-08-01,13.494300,0.000000,0.000000,13.557300,13.557300,0
2018-09-01,13.562000,0.000000,0.000000,13.545000,13.545000,0
2018-10-01,13.562400,0.000000,0.000000,13.654000,13.654000,0
2018-11-01,13.660500,0.000000,0.000000,13.824000,13.824000,0
2018-12-01,13.830300,0.000000,0.000000,13.956800,13.956800,0
2019-01-01,13.952400,0.000000,0.000000,14.051300,14.051300,0
2019-02-01,14.029100,0.000000,0.000000,14.125300,14.125300,0
2019-03-01,14.139900,0.000000,0.000000,14.367800,14.367800,0
2019-04-01,14.411800,0.000000,0.000000,14.381300,14.381300,0
2019-05-01,14.382300,0.000000,0.000000,14.618100,14.618100,0
2019-06-01,14.637600,0.000000,0.000000,14.701000,14.701000,0
2019-07-01,14.702000,0.000000,0.000000,14.958700,14.958700,0
2019-08-01,14.956800,0.000000,0.000000,15.079300,15.079300,0
2019-09-01,15.111200,0.000000,0.000000,15.104900,15.104900,0
2019-10-01,15.118000,0.000000,0.000000,15.268600,15.268600,0
2019-11-01,15.286800,0.000000,0.000000,15.392300,15.392300,0
2019-12-01,15.397600,0.000000,0.000000,15.414400,15.414400,0
2020-01-01,15.430300,0.000000,0.000000,15.528800,15.528800,0
2020-02-01,15.569300,0.000000,0.000000,15.745100,15.745100,0
2020-03-01,15.758300,0.000000,0.000000,15.843500,15.843500,0
2020-04-01,15.816200,0.000000,0.000000,15.887800,15.887800,0
2020-05-01,15.929500,0.000000,0.000000,16.243799,16.243799,0
2020-06-01,16.241100,0.000000,0.000000,16.542400,16.542400,0
2020-07-01,16.559900,0.000000,0.000000,16.762600,16.762600,0
2020-08-01,16.771601,0.000000,0.000000,16.691999,16.691999,0
2020-09-01,16.766701,0.000000,0.000000,16.781000,16.781000,0
2020-10-01,16.802601,0.000000,0.000000,17.039900,17.039900,0
2020-11-01,17.045401,0.000000,0.000000,17.180599,17.180599,0
2020-12-01,17.174299,0.000000,0.000000,17.279200,17.279200,0
2021-01-01,17.288799,0.000000,0.000000,17.266500,17.266500,0
